date,total
"Wed, Apr 3, 2024",508
"Thu, Apr 4, 2024",618
"Fri, Apr 5, 2024",594
"Sat, Apr 6, 2024",394
"Sun, Apr 7, 2024",574
"Mon, Apr 8, 2024",660
"Tue, Apr 9, 2024",540
"Wed, Apr 10, 2024",510
"Thu, Apr 11, 2024",410
"Fri, Apr 12, 2024",490
"Sat, Apr 13, 2024",638
"Sun, Apr 14, 2024",824
"Mon, Apr 15, 2024",714
"Tue, Apr 16, 2024",514
"Wed, Apr 17, 2024",711
"Thu, Apr 18, 2024",711
"Fri, Apr 19, 2024",828
"Sat, Apr 20, 2024",882
"Sun, Apr 21, 2024",954
"Mon, Apr 22, 2024",1285
"Tue, Apr 23, 2024",1285
"Wed, Apr 24, 2024",1130
"Thu, Apr 25, 2024",955
"Fri, Apr 26, 2024",963
"Sat, Apr 27, 2024",1400
"Sun, Apr 28, 2024",1529
"Mon, Apr 29, 2024",929
"Tue, Apr 30, 2024",836
"Wed, May 01, 2024",890
"Thu, May 02, 2024",1245
"Fri, May 03, 2024",1420
"Sat, May 04, 2024",1535
"Sun, May 05, 2024",845
"Mon, May 06, 2024",1075
"Tue, May 07, 2024",1153
"Wed, May 08, 2024",703
"Thu, May 09, 2024",975
"Fri, May 10, 2024",1042
"Sat, May 11, 2024",788
"Sun, May 12, 2024",827
